replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
208,0.025759330759330776,0.05209523809523812,0.039084970655205435,-0.013010267440032683,0.01332563989587466
209,0.03209266409266411,0.06811325611325612,0.05544448752889664,-0.012668768584359481,0.02335182343623253
210,0.029792792792792806,0.034088803088803105,0.03467156393588157,0.0005827608470784645,0.0048787711430887636
211,0.031095238095238117,0.050253539253539245,0.0402925388618006,-0.009961000391738646,0.009197300766562482
212,0.027348777348777366,0.0525585585585586,0.044719381175907506,-0.007839177382651094,0.01737060382713014
213,0.036288288288288305,0.05240797940797943,0.039685147945176524,-0.012722831462802904,0.0033968596568882195
214,0.03620463320463322,0.048314028314028326,0.040881990614036835,-0.007432037699991491,0.004677357409403615
215,0.026881595881595905,0.042020592020592065,0.03522829712053074,-0.006792294900061328,0.008346701238934832
216,0.03293951093951095,0.08005405405405408,0.07010439236712536,-0.00994966168692872,0.037164881427614406
217,0.03295366795366797,0.05810682110682113,0.04783710486697438,-0.010269716239846752,0.01488343691330641
218,0.029117117117117137,0.05676962676962679,0.04568971259551833,-0.01107991417410846,0.016572595478401193
219,0.029048906048906063,0.037697554697554723,0.028611509406763304,-0.00908604529079142,-0.0004373966421427587
220,0.03201158301158303,0.05209395109395113,0.04237889563777179,-0.009715055456179345,0.010367312626188757
221,0.024702702702702722,0.050500643500643504,0.03757882855290093,-0.012921814947742576,0.012876125850198206
222,0.02686357786357788,0.049984555984556006,0.03848488695724216,-0.011499669027313843,0.011621309093664284
223,0.026446589446589463,0.04946332046332043,0.041459753796936075,-0.008003566666384354,0.015013164350346612
224,0.02720205920205922,0.05648906048906053,0.04789452675446413,-0.008594533734596399,0.02069246755240491
225,0.03415444015444017,0.05962805662805662,0.04762760423900103,-0.012000452389055588,0.013473164084560861
