provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,135.0,0.95,0.9833333333333332,0.0,0.11,0.0049504950495049506,0.11386138613861387,0.0998229966829372,0.11
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,140.0,0.95,0.9833333333333332,0.0,0.08,0.0049504950495049506,0.08415841584158416,0.06851263532215209,0.08
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,145.0,0.95,0.9833333333333332,0.0,0.08,0.0049504950495049506,0.08415841584158416,0.06851263532215209,0.08
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,150.0,0.95,0.9833333333333332,0.0,0.07,0.0049504950495049506,0.07425742574257427,0.05843269470792138,0.07
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,155.0,0.95,0.9833333333333332,0.0,0.06,0.0049504950495049506,0.06435643564356436,0.04855538185853747,0.06
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,160.0,0.95,0.9833333333333332,0.0,0.08,0.0049504950495049506,0.08415841584158416,0.06851263532215209,0.08
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,165.0,0.95,0.9833333333333332,0.0,0.06,0.0049504950495049506,0.06435643564356436,0.04855538185853747,0.06
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,170.0,0.95,0.9833333333333332,0.0,0.06,0.0049504950495049506,0.06435643564356436,0.04855538185853747,0.06
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,175.0,0.95,0.9833333333333332,0.0,0.04,0.0049504950495049506,0.04455445544554455,0.029536306795326928,0.04
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,180.0,0.95,0.9833333333333332,0.0,0.04,0.0049504950495049506,0.04455445544554455,0.029536306795326928,0.04
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,185.0,0.95,0.9833333333333332,0.0,0.04,0.0049504950495049506,0.04455445544554455,0.029536306795326928,0.04
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,190.0,0.95,0.9833333333333332,0.0,0.04,0.0049504950495049506,0.04455445544554455,0.029536306795326928,0.04
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,195.0,0.95,0.9833333333333332,0.0,0.03,0.0049504950495049506,0.034653465346534656,0.020522104452999144,0.03
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,200.0,0.95,0.9833333333333332,0.0,0.02,0.0049504950495049506,0.024752475247524754,0.012034154114378451,0.02
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,205.0,0.95,0.9833333333333332,0.0,0.04,0.0049504950495049506,0.04455445544554455,0.029536306795326928,0.04
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,210.0,0.95,0.9833333333333332,0.0,0.02,0.0049504950495049506,0.024752475247524754,0.012034154114378451,0.02
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,215.0,0.95,0.9833333333333332,0.0,0.01,0.0049504950495049506,0.01485148514851485,0.004511903275164127,0.01
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,220.0,0.95,0.9833333333333332,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,225.0,0.95,0.9833333333333332,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,230.0,0.95,0.9833333333333332,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,235.0,0.95,0.9833333333333332,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,240.0,0.95,0.9833333333333332,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,5.0,0.95,0.99,0.34,0.49,0.3415841584158416,0.4900990099009901,0.04498790978651422,0.14999999999999997
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,10.0,0.95,0.99,0.05,0.25,0.054455445544554455,0.2524752475247525,0.13866604933698146,0.2
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,15.0,0.95,0.99,0.01,0.1,0.01485148514851485,0.10396039603960396,0.06450010124311246,0.09000000000000001
